filter,MJD,V,sgm,Aux,H,sgmH
g,58051.04462,22.012,0.081,g,22.485,0.096
g,58051.04562,22.115,0.087,g,22.588,0.101
g,58051.04649,22.205,0.092,g,22.678,0.105
g,58051.04748,22.261,0.094,g,22.734,0.106
g,58051.04857,22.056,0.084,g,22.528,0.097
g,58051.10116,24.479,0.397,g,24.94,0.4
g,58051.10199,24.009,0.289,g,24.47,0.293
g,58051.10279,24.003,0.277,g,24.464,0.281
g,58051.10358,24.171,0.3,g,24.632,0.304
g,58051.10437,23.667,0.205,g,24.127,0.211
g,58052.05252,22.367,0.229,g,22.628,0.234
g,58052.05327,22.046,0.179,g,22.307,0.186
g,58052.05406,22.798,0.421,g,23.059,0.424
g,58052.05604,22.679,0.106,g,22.939,0.118
g,58052.05681,22.674,0.106,g,22.934,0.117
g,58052.05758,22.78,0.119,g,23.04,0.129
g,58052.05835,22.729,0.121,g,22.989,0.131
g,58052.05912,22.636,0.107,g,22.896,0.118
g,58052.05989,22.772,0.111,g,23.032,0.122
g,58052.06066,22.602,0.102,g,22.861,0.113
g,58052.1345,23.62,0.226,g,23.864,0.231
g,58052.13634,23.332,0.184,g,23.576,0.191
g,58052.18114,23.517,0.192,g,23.752,0.199
g,58052.18188,23.392,0.172,g,23.627,0.18
g,58052.18268,23.356,0.174,g,23.59,0.181
g,58052.18392,23.182,0.152,g,23.416,0.16
g,58052.18507,23.374,0.177,g,23.608,0.184
g,58053.08581,24.673,0.767,g,24.728,0.769
g,58053.08961,25.18,2.355,g,25.234,2.355
r,58051.05035,21.38,0.066,r,22.712,0.066
r,58051.05132,21.319,0.063,r,22.651,0.063
r,58051.05533,21.481,0.068,r,22.812,0.068
r,58051.05623,21.493,0.069,r,22.824,0.069
r,58051.05707,21.611,0.074,r,22.942,0.074
r,58051.05789,21.587,0.073,r,22.917,0.073
r,58051.05877,21.685,0.077,r,23.015,0.077
r,58051.05961,21.642,0.075,r,22.972,0.075
r,58051.06046,21.802,0.083,r,23.132,0.083
r,58051.10692,23.323,0.236,r,24.643,0.236
r,58051.10773,23.601,0.29,r,24.921,0.29
r,58051.10852,23.486,0.271,r,24.805,0.271
r,58051.10929,23.727,0.316,r,25.046,0.316
r,58051.11042,23.394,0.253,r,24.713,0.253
r,58051.1112,22.986,0.186,r,24.305,0.186
r,58051.11224,23.2,0.214,r,24.519,0.214
r,58052.04538,21.234,0.08,r,22.356,0.08
r,58052.04615,21.244,0.077,r,22.366,0.077
r,58052.04694,21.284,0.053,r,22.406,0.053
r,58052.04774,21.246,0.092,r,22.368,0.092
r,58052.04851,21.187,0.083,r,22.309,0.083
r,58052.04932,21.708,0.185,r,22.83,0.185
r,58052.05013,21.362,0.109,r,22.484,0.109
r,58052.0509,21.367,0.128,r,22.488,0.128
r,58052.05168,21.013,0.085,r,22.134,0.085
r,58052.06149,21.791,0.057,r,22.91,0.057
r,58052.06229,21.849,0.062,r,22.968,0.062
r,58052.06306,21.937,0.066,r,23.056,0.066
r,58052.06384,21.997,0.066,r,23.116,0.066
r,58052.06461,22.028,0.072,r,23.147,0.072
r,58052.06579,21.623,0.05,r,22.741,0.05
r,58052.06737,21.926,0.074,r,23.044,0.074
r,58052.07724,21.9,0.064,r,23.016,0.064
r,58052.07804,21.893,0.058,r,23.009,0.058
r,58052.07884,22.049,0.068,r,23.165,0.068
r,58052.07961,21.863,0.06,r,22.978,0.06
r,58052.08038,21.971,0.062,r,23.086,0.062
r,58052.08117,21.862,0.059,r,22.977,0.059
r,58052.08194,21.794,0.055,r,22.909,0.055
r,58052.08271,21.871,0.057,r,22.986,0.057
r,58052.13859,22.441,0.125,r,23.544,0.125
r,58052.13932,22.543,0.137,r,23.646,0.137
r,58052.14006,22.65,0.149,r,23.753,0.149
r,58052.14079,22.874,0.173,r,23.977,0.173
r,58052.14247,22.999,0.198,r,24.102,0.198
r,58053.07887,23.615,0.291,r,24.532,0.291
r,58053.08244,23.834,0.344,r,24.75,0.344
r,58053.09383,23.989,0.28,r,24.903,0.28
r,58053.09738,23.651,0.235,r,24.564,0.235
r,58053.1101,23.068,0.139,r,23.978,0.139
r,58053.11362,23.323,0.167,r,24.233,0.167
r,58053.15194,22.039,0.066,r,22.941,0.066
r,58053.15553,21.954,0.055,r,22.856,0.055
r,58053.22047,23.551,0.26,r,24.44,0.26
r,58053.22404,23.916,0.34,r,24.804,0.34
i,58051.06172,21.203,0.099,i,22.843,0.111
i,58051.0626,21.344,0.108,i,22.983,0.119
i,58051.06362,21.622,0.133,i,23.261,0.142
i,58051.06444,21.603,0.133,i,23.242,0.142
i,58051.06531,21.541,0.13,i,23.18,0.139
i,58051.06615,21.784,0.152,i,23.423,0.16
i,58051.06713,21.547,0.127,i,23.185,0.136
i,58051.068,21.479,0.122,i,23.117,0.131
i,58051.06889,21.778,0.148,i,23.416,0.157
i,58051.06971,21.778,0.152,i,23.416,0.16
i,58051.07063,21.719,0.142,i,23.357,0.15
i,58051.07143,21.588,0.128,i,23.225,0.137
i,58051.07235,21.656,0.139,i,23.293,0.147
i,58051.07313,21.88,0.163,i,23.517,0.171
i,58051.07417,22.022,0.183,i,23.659,0.19
i,58051.11337,22.752,0.298,i,24.38,0.303
i,58051.11416,22.881,0.332,i,24.509,0.336
i,58051.1161,22.574,0.261,i,24.202,0.265
i,58051.11693,22.451,0.235,i,24.079,0.24
i,58051.11775,23.194,0.444,i,24.821,0.447
i,58052.06859,21.468,0.061,i,22.896,0.079
i,58052.06936,21.598,0.071,i,23.026,0.087
i,58052.07013,21.582,0.07,i,23.009,0.086
i,58052.07094,21.618,0.071,i,23.045,0.087
i,58052.0717,21.469,0.064,i,22.896,0.081
i,58052.07251,21.5,0.066,i,22.927,0.083
i,58052.07329,21.615,0.07,i,23.042,0.086
i,58052.07408,21.704,0.077,i,23.131,0.091
i,58052.07487,21.693,0.074,i,23.119,0.089
i,58052.07564,21.645,0.07,i,23.071,0.086
i,58052.14763,22.391,0.286,i,23.803,0.29
i,58052.14995,22.452,0.282,i,23.863,0.287
i,58052.15233,22.561,0.315,i,23.972,0.319
i,58052.15483,23.176,0.583,i,24.586,0.585
i,58052.15714,23.199,0.603,i,24.609,0.605
i,58053.10098,23.485,0.243,i,24.707,0.248
i,58053.10602,23.272,0.234,i,24.493,0.239
z,58051.0777,22.45,0.359,z,24.186,0.362
z,58051.08449,22.578,0.449,z,24.313,0.451
z,58051.09104,22.958,0.557,z,24.691,0.559
z,58051.09509,22.935,0.534,z,24.667,0.536
z,58051.09885,23.48,0.971,z,25.212,0.972
z,58052.08653,21.273,0.091,z,22.797,0.103
z,58052.09103,21.426,0.106,z,22.949,0.117
z,58052.09495,21.724,0.14,z,23.246,0.148
z,58052.09926,21.604,0.136,z,23.125,0.145
